CULTURA,Cana-de-acucar,Manga,Banana,Uva,Feijao,Milho,Goiaba,Soja,Algodao,Cafe,Melancia,Cebola
ID_CNAE,113000,133410,133402,132600,119905,111302,15,115600,112101,134200,119908,119904
Lini,22,30,120,30,15,20,,,,,,
Ldes,90,100,60,40,25,35,,,,,,
Lmed,195,95,180,75,30,40,,,,,,
Lfinal,41,70,5,15,20,25,,,,,,
Kc_inicial,0.75,0.7,1,0.3,0.4,0.5,,,,,,
Kc_desenv,0.81,0.85,1.1,0.575,0.775,0.85,,,,,,
Kc_medio,0.87,1,1.2,0.85,1.15,1.2,,,,,,
Kc_final2,0.695,0.8,1.15,0.65,0.75,0.9,,,,,,
Kc_ponderado,0.826278736,0.9,1.1125,0.59375,0.9375,0.90625,1,0.825,0.81875,0.9,0.74375,0.99375
Ciclo__dias,,,,,,,,,,,,
